tweet_id	tweet_text	class_label
1113220600150024194	In its first two weeks of operation, @fema has approved more than $8 million in individual and household disaster assistance to those hit hardest by winter storm and flooding conditions in Nebraska. #NebraskaFlood | #NebraskaStrong	rescue_volunteering_or_donation_effort
1112455297317175296	A farmer/rancher from Kansas brought in 30 bales of hay to the state fair grounds today to go out to people in Nebraska hit by the flood. More tonight on @KSNBLocal4	other_relevant_information
1111295079661125632	When floodwaters enter a home the damage can be overwhelming. Many disaster victims in #Nebraska have nowhere to turn for help. Thats why Operation Blessing is there, bringing helping hands and relief. Send a blessing at:	rescue_volunteering_or_donation_effort
1111475176649248769	Well the lying fake news mainstream media focuses on the hoaxer Smollett and the Crack-head AOC weve lost more than a million calves due to flooding in Nebraska does anybody care about that? I do this is important its going to affect us all not one word from the MSM our farmers	not_humanitarian
1110915087378702336	[[Act Out! 202] Indefinite Detention For All + Nebraska Aid &amp; Is Your Bank Financing Climate Chaos?	not_humanitarian
1112187329156796416	#timestamp Nebraska legislators ask for more tax dollars to expedite repairs of roads, bridges, and etc. Not a NE thing, just an America/government thing.	infrastructure_and_utility_damage
1110533897073422336	We are proud to team up with the John Deere dealers across Nebraska to contribute $60,000 towards flood disaster relief. This donation will assist a variety of organizations that focus on farmers, ranchers and rural communities. #NebraskaStrong #JohnDeere #LandMarkDifference	rescue_volunteering_or_donation_effort
1111732328664100865	The #Huskers offered their second in-state recruit for the 2021 class today. @MikeSautterOWH caught up with @whs_warriorfbs Avante Dickerson (@_dickerson1) for his thoughts on Nebraska and the latest in his recruitment. SUBSCRIBER PLUS:	not_humanitarian
1112708438390460416	The residents in Boone, Buffalo, Custer, Knox, Richardson and Thurston Counties are now able to apply for disaster assistance.	other_relevant_information
1111811252114935808	Sidney Feed &amp; Supply our local feed store loaded up a trailer and has taken fencing and livestock supplies to Eastern Nebraska! @narj_15 donated rolls of wire to help with rebuilding efforts. #nebraskastrong	rescue_volunteering_or_donation_effort
1110721100219064321	@realDonaldTrump You sorry excuse for a human being with bone spurs you resent Puerto Rico getting Aid you ignore the floods in Nebraska you think its okay in Charlottesville for chickenshit f****** white nazis like you demeaning Jews you sorry Pig f*** where are descendants of Lee Harvey Oswald	not_humanitarian
1111730354677641217	The USDA expects a drop in soybean acres planted in Nebraska. A huge amount of grain remains in storage. And who knows what impact flooding will have it could have a significant impact on #plant19:	other_relevant_information
1113165210846674944	Pheasants Forever &amp; Quail Forever establish habitat relief fund to help Nebraska landowners rebuild for wildlife following devastating floods  w/ @pheasants4ever #NebraskaFlood #NebraskaStrong #Nebraska	rescue_volunteering_or_donation_effort
1111746149248106501	Our thoughts and prayers are with rural America after recent flooding in Nebraska. As a statewide effort, Arkansas Farm Credit has donated $10,000 to the @neagfoundation Disaster Relief Fund. To donate, visit	sympathy_and_support
1110937598111948801	FREE WATER TESTING DHHS and the Nebraska Department of Environmental Quality (DEQ) are offering free testing for total coliform and E.coli for samples submitted by private well owners. For more information:  #NebraskaFlood | #NebraskaStrong	other_relevant_information
1110682296191983622	Pray for Nebraska. #NebraskaFloods	sympathy_and_support
1111049739125035010	We will be taking donations at the box office this weekend for the Red Cross to help in the recovery of the floods that hit the midwest. #NebraskaStrong #thecomedyloft #LNK #lincoln #nebraska #Huskers #tgif #Friday #Saturday #tickets #march #RedCross #AmericanRedCross	rescue_volunteering_or_donation_effort
1110532943427059713	Broadcasters come together for flood victims in Nebraska	rescue_volunteering_or_donation_effort
1112411427397165056	@kpace2018 I LOVE this. I was lucky enough to see it twice this week and cried my face off both times. It’s just SO good. And such a Nebraska story right now. Can’t wait to hear all of your thoughts! ❤️❤️	sympathy_and_support
1110664517044834309	A group is headed out to Nebraska Wednesday to help farmers devastated by blizzards and floods. #FreetoRead	rescue_volunteering_or_donation_effort
1110369031087886336	I get to work with some of the best. The best colleagues and the best volunteers!	rescue_volunteering_or_donation_effort
1110374612825718784	@JimealPhillips However.. my snow has done a damage on the great citizens of Nebraska so I should probably call it quits for the season.	not_humanitarian
1110242671635910658	As Nebraskans begin returning to their homes in the aftermath of widespread historic flooding, Nebraska Extension has mobilized a number of resources to aid in the road to recovery. ››  #NebraskaStrong	rescue_volunteering_or_donation_effort
1112779169694449665	Walmart, Sam’s Club and the Walmart Foundation Announce a Commitment of $100,000 for Midwest Flood Relief  – In response to the floods that have impacted midwestern states including Iowa and Nebraska, Walmart, Sam’s Club and the Walmart Foundation have co	rescue_volunteering_or_donation_effort
1110276952559181830	Referral requests! Have any suggestions for these community members? 1. Is there a Loveland location to where things like clothing, baby items, etc. can be donated for Nebraska flood victims? 2. Recommendation	requests_or_urgent_needs
1112548838500458496	@JayInslee But they are worried in the GOP. The polling data across parties are solidly supportive of climate action. It doesnt help when its the red plain states underwater. Imagine what a Keystone pipeline break in Nebraska would do to water supplies as the floods are in every county.	other_relevant_information
1112486870762573825	Weather Patterns Go Crazy: Nebraska Flooding Has Broken 17 Records And Farmers Are Being Absolutely Devastated	other_relevant_information
1111841712450605056	RT @farmeditor: Never too young too help: Inman students help Nebraska flood victims, livestock	rescue_volunteering_or_donation_effort
1112741774576021505	Last day to contribute to Nebraska flood relief with a subscription to @TheAthletic. Approximately $3,200 has been raised for the Red Cross. Get 30% off — with 50% of proceeds to benefit flood relief. And get full access to the network of college and pro sports coverage.	rescue_volunteering_or_donation_effort
1111331485582348288	Wow: U.S. govt warns theres a spring flood risk for two-thirds of the Lower 48 In Nebraska and Iowa theres a brown sea where there should be homes, roads, gas stations, and open country. Historic floods have deluged   via @Mashable #Technology #Tech	caution_and_advice
1111060884678418432	Farmers in Manchester, Iowa, are collecting cleaning supplies, fencing, bales of hay, and monetary donations to drive west for flooded Nebraska farmers.	rescue_volunteering_or_donation_effort
1110986070747832320	In the past few weeks, Nebraska and surrounding states were greatly affected by recent flooding and winter storms, including the incalculable loss of life and livestock. Also affected were entire	other_relevant_information
1110566826705063937	We do some great things for kids with disabilities in the State of Nebraska and across the country. Please help us out @DebFischerNE @BenSasse @JeffFortenberry @RepAdrianSmith @RepDonBacon We could certainly use the additional support from Washington! Thanks in advance!	requests_or_urgent_needs
1111386851401596929	Nebraska Tax Commissioner Grants Specific Relief for Adversely Impacted Nebraskans	rescue_volunteering_or_donation_effort
1111770314474774528	Our statement: Tens of thousands of people in Nebraska &amp; South Dakota are still dealing with devastation caused by historic floodingInstead of supporting communities facing impacts from climate change[Trump] chose to advance the agenda of Big Oil.”	other_relevant_information
1112707909396377601	Nebraska Strong Donations	rescue_volunteering_or_donation_effort
1112321569387364353	With dozens of costly breaks across Nebraska, Iowa, Missouri and nearby states, the floods have left large areas of the Midwest without even cursory flood protection.	other_relevant_information
1111355640415424512	Gov. Pete Ricketts: Worst flooding damage in our state’s history – As many as a million calves lost in Nebraska  via @Strange_Sounds	other_relevant_information
1110761462513963008	I called Nebraska home once upon a time when I worked in the Midwest. My heart goes out to all Nebraskans and Iowans who are suffering from this historic, catastrophic flooding. @TMobile customers can donate $10 to the American Red Cross simply by texting REDCROSS” to 90999.	rescue_volunteering_or_donation_effort
1111513602580602880	Those who have been affected by #Flooding2019 in #Iowa #Missouri, #SouthDakota or #Nebraska can call the telephone number below to learn about the types of assistance available and how to apply. #NebraskaStrong #Kansas #PineRidge #Santee #Ponca	other_relevant_information
1113169804838531074	Nebraska is developing a national early learning network. Our strengths-based Getting Ready” program supports children growing up in poverty. Watch this short video to learn more. #InOurGritOurGlory	rescue_volunteering_or_donation_effort
1113264139265351680	Tax relief for weather victims in Nebraska and Iowa	other_relevant_information
1112766021406998533	The Nebraska Department of Education’s emergency preparation and response goal is to provide Nebraska schools, districts, and ESUs with direct and easy access to pertinent emergency preparedness and response information and resources. To learn more:	caution_and_advice
1110997004207964165	Veterans or their dependents may be eligible to receive funds through #Nebraska #Veterans Aid for food, clothing, and emergency housing due to the #NebraskaFlood. Learn more here:  Contact your CVSO to apply	rescue_volunteering_or_donation_effort
1111298048330747904	Barn Town + @krosstrainbeer collab for Iowa &amp; Nebraska flood victims. April 13, 2019 at Barn Town. $2 from every NEIGHBORS BEING NEIGHBORS pint will go to the relief fund. Come out and drink some beer for a good cause!	rescue_volunteering_or_donation_effort
1111307564397019138	FLASH FLOOD WARNING SW JEFFERSON CO IN SE #NEBRASKA * UNTIL 230 PM CDT AT 1125 AM CDT, EM REPORTED WATER ACROSS COUNTY ROADS SW OF FAIRBURY. TSTMS WILL AFFECT THE AREA INTO EARLY AFTERNOON WITH AN ADDITIONAL INCH OF RAIN POSSIBLE AT SOME LOCATIONS. ADDITIONAL FLOODING IS LIKELY	caution_and_advice
1111251591934414848	Nebraska educators, we cant wait to see you this morning for #NETA19. Stop by #PearDeck Booth 214 to snag a tote bag &amp; Premium access, plus see @davefrayser demo the latest features! Help us continue the celebration with @GoogleForEdu tonight! RSVP here:	not_humanitarian
1110956875628068864	Were getting ready to take calls and donations on air! We are raising funds to help cover our costs to travel to Nebraska for a Service Learning project to help Drew Wolfe clean up his farm from the floods. Please call 228-1000 to donate! #WeAreCC #NebraskaStrong	rescue_volunteering_or_donation_effort
1112915844709994496	I have prayed for the flood victims and I will also act for those Nebraskans by voting to ensure the necessary revenue and tax dollars are there to rebuild their homes, farms, businesses and communities.	sympathy_and_support
1110774532418105346	Iowa, Nebraska and all of mid America was at 1 point a sea bed and a prehistoric river bed also. Throughout history. This terrain is prone to massive flooding naturally. Man made climate change has nothing to do with it. Water runs a NATURAL course. Heavy rains dont help.	not_humanitarian
1113085135602118657	RT @bethanyshondark: Has anyone written on the financial cost regarding food prices the catastrophe in the Midwest (iowa, nebraska) will ca	other_relevant_information
1112862467695230977	@HuskerFBNation God bless Nebraska Iowa Missouri and anyone else that is affected by the flood hell give you strength to go on and hell make you Nebraska Strong!!!!ὢAᾑ7	sympathy_and_support
1110255326274748419	Although Sargent water is receding, the city administrator says damage is being revealed everyday, and 90 percent of the homes are experiencing flooded basements.	infrastructure_and_utility_damage
1110897432215330816	Support Nebraska Flooding Relief and Recovery:	requests_or_urgent_needs
1110931880189280256	4 months from today is the 8th annual Belly Button Run of Nebraska - Gastroschisis Awareness Poker Run and Auctions. Please let us know if you would like to donate an item for our auctions!	not_humanitarian
1110978436762222592	As Nebraska rancher, @USDA Under Secretary Greg Ibach says he knows the devastation of floods and blizzards. He said USDA is here to help. #NebraskaStrong	other_relevant_information
1110766082715865088	From air quality in the Bronx to water in Flint, from flooding in Nebraska to farms in Iowa, I don’t know what we’re doing” @AOC	not_humanitarian
1110715060471676931	College basketball coaching changes: Arkansas fires Mike Anderson; Nebraska fires Tim Miles  via @CBSSports	not_humanitarian
1110792522878484481	People once understood living in a river basin meant there would be flooding. Nebraska flooding is the result of extreme cold/winter storms. So is it Global Warming, or an ice age, or just the government should be put in charge of controlling the weather?	not_humanitarian
1110372955333124096	RT @kilmeade: Read the article below to learn how you can help the flood victims in Nebraska. #TheBrianKilmeadeShow	rescue_volunteering_or_donation_effort
1110949669964840960	Nebraska-Strong Flood Shirt, Sweatshirt, Hoodie, Tank Top	not_humanitarian
1110547045109121024	Feel Good Story for Tuesday! Farmers in Iowa have come to the aid of those farming families living in Nebraska by donating 75 bales of hay to help with feeding livestock! - Brendan	rescue_volunteering_or_donation_effort
1113201355328327680	TRYING TO HIDE? DEMOCRATS ARE TRASH! FUND THE AID FOR THE HURRICANES AND NEBRASKA FLOODING YOU PIECE IF SHIFF! REST IN PEACE DEMOCRATIC PARTY! 01-18-1828 - 11-03-2020	not_humanitarian
1112902786772029440	#Iowa #Nebraska #NorthDakota democrats are refusing to ok disaster relief for your #farmers! #FarmersUnderSiege Democrats hate you. Please don’t vote for them. #MAGA	rescue_volunteering_or_donation_effort
1112012665855971328	I recall when Larry King embezzled $40 million dollars from the Franklin Credit Union in Omaha, Nebraska. It lead to the discovery of a satanic/paedophile ring that reached all the way to Washington, DC. Not long after that people associated mysteriously died or were killed.	not_humanitarian
1110549578389090310	Nebraska Legislature making head way on insurance coverage for childrens hearing aids	not_humanitarian
1110240234967584768	We want to provide a hot meal to those affected by the historic flooding and volunteers helping in the recovery. Join Nebraska Farm Bureau, @FBFS, @NEporkproducers and @NeCattlemen in Columbus tomorrow for a burger and pork feed. Everyone is welcome! #nebraskastrong	rescue_volunteering_or_donation_effort
1110545301012729857	Nebraska has been devisteated by snow, ice jams and unprecidented flooding. There is the physical damages and agricultural damages, but there are also the mental and behavioral health damages and public health damages that longer behind headlines. #prep19 #NebraskaStrong	infrastructure_and_utility_damage
1110950933754798084	This Friday, our agency is collecting donations to take to Nebraska on April 6th. For every item donated, we will put your name in a drawing for a $100 Amazon Gift Card! If you’re in the KC area and looking to donate, please PM me! #NebraskaStrong #FloodRelief #NebraskaFlood2019	rescue_volunteering_or_donation_effort
1111231866034630656	@kwilli1046 We have thousands of people here in the Midwest that just lost everything in major flooding. The people of Nebraska and more in surrounding states all have nothing now. Many lives lost. Please pray for those too. We have to help our own first.	sympathy_and_support
1111530647238201344	Offering thoughts and prayers for #NebraskaCity #Nebraska - #PrayForNebraskaCity	sympathy_and_support
1111110587889651713	JOB: Lincoln NE USA - Food and Beverage Department Manager - Overview The Food Beverage FB Manager is re: Overview The Food Beverage FB Manager is responsible for managing all FB operations and  FB Managers must possess a JOBS LINCOLN NEBRASKA	not_humanitarian
1110901692193746944	RT @PatCaruthers1: @RedRising11 @WahpetonGuy How do we donate? And to WHICH organization, to keep the $ designated ONLY for Nebraska?	rescue_volunteering_or_donation_effort
1112069120441442304	I think this is a great hire for Nebraska, but this is why I despise local sports media. They will blow rose water up your ass unjustly for four years and then rip it all to shreds in a span of mere months when they’ve decided it isn’t working out.	not_humanitarian
1112857226509783040	People stepped up in a BIG way to help farmers and others impacted by #flooding in Nebraska. Prairie du Sac farmer Joe Keller organized this very successful donation drive! #WKOW	rescue_volunteering_or_donation_effort
1111801327523229698	If you’d like to help a little boy who lost his Hot Wheels collection in the Nebraska floods, please contact me. We are working to build his collection back up. Thank you. Ὁ9ὤFἿD	rescue_volunteering_or_donation_effort
1111014470724259842	We hope the US government, @POTUS, and @VP, ease resettlement for thousands of Yazidi families who have applications pending, including those who worked with US army in Iraq. Some of the families were even given a travel date two years ago but then the process was halted.	other_relevant_information
1112799835709718530	Troopers arrested 3 people (2 juveniles) Sunday after a pursuit with a stolen vehicle in Lancaster County. They are suspected of shooting BBs at cyclists on Highway 77 as well. If any cyclists witnessed this or were victims, please call NSP. More:	not_humanitarian
1111282438095941632	The IRS has announced that victims of flooding in counties of Iowa and Nebraska that are designated as Continue reading on our website:	other_relevant_information
1111260436857610240	John Deere Dealers are donating $60,000 towards aiding farmers and communities affected by flooding. #DealerNews #DisasterRelief	rescue_volunteering_or_donation_effort
1110337067567988736	Nebraska livestock has been hit hard by the flooding. On Monday, volunteers banded together today to help farmers struggling to get by.	rescue_volunteering_or_donation_effort
1111503128522825734	@realDonaldTrump NEBRASKA is also having an emergency- when will you visit?? They need your paper towels!	not_humanitarian
1110591983645384704	@ani_seh It sure is! Im insensed that so many are unaware of the flooding not only in Iran, but also in Nebraska, Iowa, São Paulo, Mozambique, Southern New Zealand, Yorkshire, Indonesia, Afghanistan, Malawi, Jordan this month. Wake UP, people!	other_relevant_information
